hrs,absences,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
6.420398259705278,19.0,4.0,3.0,2.0,2.0,3.0,28.0,Travel_Rarely,Research & Development,29.0,2.0,Life Sciences,1.0,4020.0,Male,2.0,Laboratory Technician,Married,68520.0,1.0,Y,18.0,8.0,1.0,1.0,2.0,1.0,0.0,0.0,No
7.61552097278,7.0,4.0,3.0,4.0,2.0,3.0,28.0,Travel_Rarely,Research & Development,10.0,3.0,Other,1.0,1977.0,Male,2.0,Sales Representative,Married,52100.0,1.0,Y,15.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,No
6.093780678268611,18.0,3.0,3.0,1.0,3.0,4.0,37.0,Travel_Rarely,Research & Development,1.0,3.0,Life Sciences,1.0,4231.0,Female,3.0,Sales Executive,Single,52070.0,4.0,Y,17.0,8.0,3.0,16.0,3.0,5.0,0.0,2.0,No
6.460208612226666,5.0,4.0,3.0,3.0,4.0,3.0,32.0,Non-Travel,Research & Development,3.0,1.0,Life Sciences,1.0,1131.0,Male,3.0,Manager,Divorced,62090.0,5.0,Y,17.0,8.0,1.0,9.0,5.0,5.0,1.0,2.0,No
10.384712182061389,2.0,2.0,3.0,4.0,2.0,4.0,21.0,Travel_Rarely,Research & Development,1.0,4.0,Life Sciences,1.0,3498.0,Female,1.0,Research Scientist,Single,26100.0,1.0,Y,11.0,8.0,1.0,2.0,3.0,2.0,2.0,2.0,No
7.0600211958944445,6.0,1.0,3.0,2.0,3.0,3.0,27.0,Travel_Rarely,Sales,10.0,4.0,Life Sciences,1.0,2382.0,Male,3.0,Sales Executive,Married,194190.0,7.0,Y,14.0,8.0,1.0,5.0,2.0,3.0,0.0,2.0,No
8.163865461847223,10.0,4.0,3.0,3.0,4.0,3.0,44.0,Travel_Rarely,Human Resources,1.0,3.0,Life Sciences,1.0,957.0,Male,1.0,Research Scientist,Married,48340.0,1.0,Y,14.0,8.0,0.0,9.0,1.0,8.0,6.0,7.0,No
6.310013386880834,19.0,2.0,3.0,4.0,4.0,3.0,38.0,Travel_Rarely,Sales,2.0,3.0,Marketing,1.0,30.0,Female,1.0,Manager,Divorced,44480.0,9.0,Y,12.0,8.0,0.0,10.0,3.0,2.0,1.0,2.0,No
9.005943775100278,5.0,3.0,3.0,3.0,3.0,2.0,26.0,Travel_Frequently,Research & Development,2.0,1.0,Life Sciences,1.0,196.0,Female,2.0,Laboratory Technician,Divorced,59930.0,0.0,Y,12.0,8.0,0.0,8.0,3.0,7.0,1.0,0.0,Yes
6.8450925925925,18.0,3.0,4.0,4.0,2.0,3.0,38.0,Travel_Rarely,Research & Development,7.0,4.0,Medical,1.0,2024.0,Male,1.0,Sales Executive,Single,66530.0,7.0,Y,20.0,8.0,1.0,10.0,2.0,1.0,0.0,0.0,No
